n,t,Term
K. Imai,L1 problem;approximation algorithm;label size maximization problem;minimum maximal;distance k-sector;2-approximation algorithm;Voronoi refinement algorithm;important problem;non-trivial approximation algorithm;n point,"['l1', 'problem', 'approxim', 'algorithm', 'label', 'size', 'maxim', 'problem', 'minimum', 'maxim', 'distanc', 'k-sector', '2-approxim', 'algorithm', 'voronoi', 'refin', 'algorithm', 'import', 'problem', 'non-trivi', 'approxim', 'algorithm', 'n', 'point']"
Mehdi Mirakhorli,traceability link;software architecture;architectural decision;architectural design;architectural document;architectural quality;software engineering;software project;architectural challenge;architectural element,"['traceabl', 'link', 'softwar', 'architectur', 'architectur', 'decis', 'architectur', 'design', 'architectur', 'document', 'architectur', 'qualiti', 'softwar', 'engin', 'softwar', 'project', 'architectur', 'challeng', 'architectur', 'element']"
Katsunobu Imai,cellular automaton;log n;one-dimensional cellular automaton;time nondeterministic cellular automaton;time-constructible function;time constructible;cellular automataA;nondeterministic cellular automaton;reversible cellular automaton;time PRAM,"['cellular', 'automaton', 'log', 'n', 'one-dimension', 'cellular', 'automaton', 'time', 'nondeterminist', 'cellular', 'automaton', 'time-construct', 'function', 'time', 'construct', 'cellular', 'automataa', 'nondeterminist', 'cellular', 'automaton', 'revers', 'cellular', 'automaton', 'time', 'pram']"
D Wulich,diversity loss;wireless network;antennas proximity;information theoretic security;instantaneous power;outage probability;compact wireless;compact wireless device;Gaussian distribution;complementary distribution,"['divers', 'loss', 'wireless', 'network', 'antenna', 'proxim', 'inform', 'theoret', 'secur', 'instantan', 'power', 'outag', 'probabl', 'compact', 'wireless', 'compact', 'wireless', 'devic', 'gaussian', 'distribut', 'complementari', 'distribut']"
Xenia Mountrouidou,power saving;data center;burst aggregation algorithm;aggregation algorithm;disk drive;performance target;analytic result;simulation data;arrival process;departure process,"['power', 'save', 'data', 'center', 'burst', 'aggreg', 'algorithm', 'aggreg', 'algorithm', 'disk', 'drive', 'perform', 'target', 'analyt', 'result', 'simul', 'data', 'arriv', 'process', 'departur', 'process']"
David Milne,information retrieval;Wikipedia article;document clustering;knowledge base;wikipediaThis paper;Exploring Wikipedia;Wikipedia Miner;Wikipedia Miner toolkit;Wikipedia concept;appropriate Wikipedia article,"['inform', 'retriev', 'wikipedia', 'articl', 'document', 'cluster', 'knowledg', 'base', 'wikipediathi', 'paper', 'explor', 'wikipedia', 'wikipedia', 'miner', 'wikipedia', 'miner', 'toolkit', 'wikipedia', 'concept', 'appropri', 'wikipedia', 'articl']"
Joaquín Izquierdo,water distribution network;water supply system;Particle Swarm Optimization;mathematical model;New York Tunnel water;water system;wastewater collection network;analytic hierarchy process;hydraulic system;Hanoi new water distribution,"['water', 'distribut', 'network', 'water', 'suppli', 'system', 'particl', 'swarm', 'optim', 'mathemat', 'model', 'new', 'york', 'tunnel', 'water', 'water', 'system', 'wastewat', 'collect', 'network', 'analyt', 'hierarchi', 'process', 'hydraul', 'system', 'hanoi', 'new', 'water', 'distribut']"
B. W. Weber,trading volume;information technology;all-electronic options trading platform;alternative trading system;block trading;cost-effective block trading;electronic trading;financial trading;immediate trading;new electronic trading venture,"['trade', 'volum', 'inform', 'technolog', 'all-electron', 'option', 'trade', 'platform', 'altern', 'trade', 'system', 'block', 'trade', 'cost-effect', 'block', 'trade', 'electron', 'trade', 'financi', 'trade', 'immedi', 'trade', 'new', 'electron', 'trade', 'ventur']"
E. R. Weber,GaAs matrixGrowth;MOCVD-grown GaAs layersElectrical characteristic;low temperature GaAs;Be-doped low temperature;gas source molecular beam;low temperature-Al0;modulated molecular beam epitaxyOpportunities;molecular beam;EL2-like defect level;aluminum nitride thin film,"['gaa', 'matrixgrowth', 'mocvd-grown', 'gaa', 'layerselectr', 'characterist', 'low', 'temperatur', 'gaa', 'be-dop', 'low', 'temperatur', 'ga', 'sourc', 'molecular', 'beam', 'low', 'temperature-al0', 'modul', 'molecular', 'beam', 'epitaxyopportun', 'molecular', 'beam', 'el2-lik', 'defect', 'level', 'aluminum', 'nitrid', 'thin', 'film']"
John A. Stankovic,real-time system;wireless sensor network;sensor network;real-time application;real-time databases;real-time scheduling;sensor node;real-time database;real-time database system;real-time performance,"['real-tim', 'system', 'wireless', 'sensor', 'network', 'sensor', 'network', 'real-tim', 'applic', 'real-tim', 'databas', 'real-tim', 'schedul', 'sensor', 'node', 'real-tim', 'databas', 'real-tim', 'databas', 'system', 'real-tim', 'perform']"
Longshe Huo,P2P media;media content;secure media;embedded packetization framework;different clients access;AVS media;AVStreamer P2P media;P2P live media;P2P media streamingRecently;large-scale live media,"['p2p', 'media', 'media', 'content', 'secur', 'media', 'embed', 'packet', 'framework', 'differ', 'client', 'access', 'av', 'media', 'avstream', 'p2p', 'media', 'p2p', 'live', 'media', 'p2p', 'media', 'streamingrec', 'large-scal', 'live', 'media']"
C. Scheurich,memory access;lockup-free cache;global memory;memory request;shared memory multiprocessors;average memory access latency;buffering memory request;cache memory;correct memory operation;memory coherence problem,"['memori', 'access', 'lockup-fre', 'cach', 'global', 'memori', 'memori', 'request', 'share', 'memori', 'multiprocessor', 'averag', 'memori', 'access', 'latenc', 'buffer', 'memori', 'request', 'cach', 'memori', 'correct', 'memori', 'oper', 'memori', 'coher', 'problem']"
Grzegorz Czajkowski,safe language;resource management;virtual machine;Java Virtual Machine;Java programming language;resource consumption;resource control;resource control mechanism;resource management policy;resource usage,"['safe', 'languag', 'resourc', 'manag', 'virtual', 'machin', 'java', 'virtual', 'machin', 'java', 'program', 'languag', 'resourc', 'consumpt', 'resourc', 'control', 'resourc', 'control', 'mechan', 'resourc', 'manag', 'polici', 'resourc', 'usag']"
Qiang Huo,Online Handwritten Chinese Character;handwritten Chinese character;Chinese character;Chinese OCR;proposed approach;Chinese translation;Handwritten Chinese Characters;recognition accuracy;recognition task;Chinese CharacterThis paper,"['onlin', 'handwritten', 'chines', 'charact', 'handwritten', 'chines', 'charact', 'chines', 'charact', 'chines', 'ocr', 'propos', 'approach', 'chines', 'translat', 'handwritten', 'chines', 'charact', 'recognit', 'accuraci', 'recognit', 'task', 'chines', 'characterthi', 'paper']"
F Oppacher,genetic programming;genetic algorithm;simple genetic algorithm;Genetic Algorithms;exaptive genetic algorithmWe;genetic algorithm approach;genetic algorithm experiment;genetic programming system;genetic programmingThe Evolution;genetic programmingThis paper,"['genet', 'program', 'genet', 'algorithm', 'simpl', 'genet', 'algorithm', 'genet', 'algorithm', 'exapt', 'genet', 'algorithmw', 'genet', 'algorithm', 'approach', 'genet', 'algorithm', 'experi', 'genet', 'program', 'system', 'genet', 'programmingth', 'evolut', 'genet', 'programmingthi', 'paper']"
Wayne D. Gray,human-computer interaction;special issue;safety-critical interactive system;user assistance;cognitive architecture;safety-critical system;cognitive model;cognitive psychology;cognitive science;GOMS model,"['human-comput', 'interact', 'special', 'issu', 'safety-crit', 'interact', 'system', 'user', 'assist', 'cognit', 'architectur', 'safety-crit', 'system', 'cognit', 'model', 'cognit', 'psycholog', 'cognit', 'scienc', 'gom', 'model']"
W. A. Gray,data source;data design;competitive environment;business rule;data intensive program;quality rating;data format;data set;data structure;local data source,"['data', 'sourc', 'data', 'design', 'competit', 'environ', 'busi', 'rule', 'data', 'intens', 'program', 'qualiti', 'rate', 'data', 'format', 'data', 'set', 'data', 'structur', 'local', 'data', 'sourc']"
Shu-Sheng Liaw,e-learning system;search engine;collaborative e-learning system;e-learning environment;behavioral intention;interactive learning environment;Blackboard e-learning system;e-learning usage;m-learning system;collaborative e-learning environment,"['e-learn', 'system', 'search', 'engin', 'collabor', 'e-learn', 'system', 'e-learn', 'environ', 'behavior', 'intent', 'interact', 'learn', 'environ', 'blackboard', 'e-learn', 'system', 'e-learn', 'usag', 'm-learn', 'system', 'collabor', 'e-learn', 'environ']"
James L. Elshoff,operating system;system programmer;commercial PL;programming technique;cyclomatic number;cyclomatic complexity;computer program;MCTS operating system;PEEK system;overall system,"['oper', 'system', 'system', 'programm', 'commerci', 'pl', 'program', 'techniqu', 'cyclomat', 'number', 'cyclomat', 'complex', 'comput', 'program', 'mct', 'oper', 'system', 'peek', 'system', 'overal', 'system']"
J. M. Conroy,automatic evaluation;multi-document summarization;summarization system;manual evaluation;current automatic evaluation;English multi-document summarization;English-document summarization;Topic-focused multi-document summarization;annual summarization evaluation;automatic summarization system,"['automat', 'evalu', 'multi-docu', 'summar', 'summar', 'system', 'manual', 'evalu', 'current', 'automat', 'evalu', 'english', 'multi-docu', 'summar', 'english-docu', 'summar', 'topic-focus', 'multi-docu', 'summar', 'annual', 'summar', 'evalu', 'automat', 'summar', 'system']"
Sinjini Mitra,facial asymmetry;Human Identification;expression classification;facial asymmetry information;facial asymmetry measure;local facial asymmetry;facial image;Frequency Domain Representation;asymmetry biometric;asymmetry measure,"['facial', 'asymmetri', 'human', 'identif', 'express', 'classif', 'facial', 'asymmetri', 'inform', 'facial', 'asymmetri', 'measur', 'local', 'facial', 'asymmetri', 'facial', 'imag', 'frequenc', 'domain', 'represent', 'asymmetri', 'biometr', 'asymmetri', 'measur']"
Maarten Keijzer,Genetic Programming;ripple crossover;Grammatical Evolution;crossover operator;program committee;acceptance rate;evolutionary computation;crossover bias;sub-tree crossover;one-point crossover,"['genet', 'program', 'rippl', 'crossov', 'grammat', 'evolut', 'crossov', 'oper', 'program', 'committe', 'accept', 'rate', 'evolutionari', 'comput', 'crossov', 'bia', 'sub-tre', 'crossov', 'one-point', 'crossov']"
Isaac G. Councill,digital library;CiteSeer Digital Library;CiteSeer database;CiteSeer entry;CiteSeer server;entire CiteSeer dataset;new architecture;search engine;web crawler;CiteSeer Plus,"['digit', 'librari', 'cites', 'digit', 'librari', 'cites', 'databas', 'cites', 'entri', 'cites', 'server', 'entir', 'cites', 'dataset', 'new', 'architectur', 'search', 'engin', 'web', 'crawler', 'cites', 'plu']"
P. Liuha,new dominant design;image processing;radix-8 multiplier design;user interface design;different platform;different research challenge;video coding;competitive performance;related servicesNetworked embedded system;user interface,"['new', 'domin', 'design', 'imag', 'process', 'radix-8', 'multipli', 'design', 'user', 'interfac', 'design', 'differ', 'platform', 'differ', 'research', 'challeng', 'video', 'code', 'competit', 'perform', 'relat', 'servicesnetwork', 'embed', 'system', 'user', 'interfac']"
Alexander G. Loukianov,control law;neural identifier;block control;mode control;recurrent high order neural;proposed control law;state-dependent polynomial control input;recurrent high-order neural network;recurrent neural network;unknown parameter,"['control', 'law', 'neural', 'identifi', 'block', 'control', 'mode', 'control', 'recurr', 'high', 'order', 'neural', 'propos', 'control', 'law', 'state-depend', 'polynomi', 'control', 'input', 'recurr', 'high-ord', 'neural', 'network', 'recurr', 'neural', 'network', 'unknown', 'paramet']"
Jerome P. Reiter,data owner;partitioned data;synthetic data;secondary data analyst;actual data value;air pollution data;beneficial data mining analysis;data record;dataWhen multiple data owner;genuine data,"['data', 'owner', 'partit', 'data', 'synthet', 'data', 'secondari', 'data', 'analyst', 'actual', 'data', 'valu', 'air', 'pollut', 'data', 'benefici', 'data', 'mine', 'analysi', 'data', 'record', 'datawhen', 'multipl', 'data', 'owner', 'genuin', 'data']"
Hannes Moser,vertex deletion problem;problem kernel;k vertex;parameterized complexity;NP-hard minimization problem;vertex problem kernel;graph G;vertex deletion;Vertex Cover;RURAL POSTMAN problem,"['vertex', 'delet', 'problem', 'problem', 'kernel', 'k', 'vertex', 'parameter', 'complex', 'np-hard', 'minim', 'problem', 'vertex', 'problem', 'kernel', 'graph', 'g', 'vertex', 'delet', 'vertex', 'cover', 'rural', 'postman', 'problem']"
Morgan McGuire,computer graphics;multi-parameter video;blue-screen matting;offline rendering;real-time rendering;ACM symposium;high performance;Non-photorealistic rendering;interactive rendering;real-time program,"['comput', 'graphic', 'multi-paramet', 'video', 'blue-screen', 'mat', 'offlin', 'render', 'real-tim', 'render', 'acm', 'symposium', 'high', 'perform', 'non-photorealist', 'render', 'interact', 'render', 'real-tim', 'program']"
Nikolaos Tsantalis,software system;design pattern;refactoring activity;design problem;refactoring opportunity;refactoring suggestion;empirical study;software artifact;software engineering;code fragment,"['softwar', 'system', 'design', 'pattern', 'refactor', 'activ', 'design', 'problem', 'refactor', 'opportun', 'refactor', 'suggest', 'empir', 'studi', 'softwar', 'artifact', 'softwar', 'engin', 'code', 'fragment']"
E. Pesch,centroid problem;two-machine flow shop scheduling;late part;acyclic partitioning problem;capacitated economic lot-sizing problem;problem F2;two-machine flow-shop problem;late work criterion;computational experiment;analyzes basic decision problem,"['centroid', 'problem', 'two-machin', 'flow', 'shop', 'schedul', 'late', 'part', 'acycl', 'partit', 'problem', 'capacit', 'econom', 'lot-siz', 'problem', 'problem', 'f2', 'two-machin', 'flow-shop', 'problem', 'late', 'work', 'criterion', 'comput', 'experi', 'analyz', 'basic', 'decis', 'problem']"
Dilip Krishnaswamy,wireless mesh network;parallel algorithm;network-centric computing;platform architecture;wireless healthcare system;asynchronous parallel algorithm;distributed-memory parallel computer;memory parallel platform;parallel Hough;parallel genetic algorithm,"['wireless', 'mesh', 'network', 'parallel', 'algorithm', 'network-centr', 'comput', 'platform', 'architectur', 'wireless', 'healthcar', 'system', 'asynchron', 'parallel', 'algorithm', 'distributed-memori', 'parallel', 'comput', 'memori', 'parallel', 'platform', 'parallel', 'hough', 'parallel', 'genet', 'algorithm']"
Lluís Belanche,basis function;expansion vector;experimental result;feature selection algorithm;fundamental algorithm;substantial number;kernel function;sample data set;generalization performance;classification task,"['basi', 'function', 'expans', 'vector', 'experiment', 'result', 'featur', 'select', 'algorithm', 'fundament', 'algorithm', 'substanti', 'number', 'kernel', 'function', 'sampl', 'data', 'set', 'gener', 'perform', 'classif', 'task']"
Vincent Charles Gaudet,power consumption;stochastic decoder;LDPC code;Digit-online decoder;analog decoder;conventional synchronous stochastic decoder;digit-serial decoder;stochastic decoding;LDPC decoder message statistic;Stochastic DecodersStochastic iterative decoder,"['power', 'consumpt', 'stochast', 'decod', 'ldpc', 'code', 'digit-onlin', 'decod', 'analog', 'decod', 'convent', 'synchron', 'stochast', 'decod', 'digit-seri', 'decod', 'stochast', 'decod', 'ldpc', 'decod', 'messag', 'statist', 'stochast', 'decodersstochast', 'iter', 'decod']"
Vassilios Morellas,positive definite matrix;sparse representation;computer vision;experimental result;symmetric positive definite matrix;ground plane;security system;single image;novel approach;vehicle occupant,"['posit', 'definit', 'matrix', 'spars', 'represent', 'comput', 'vision', 'experiment', 'result', 'symmetr', 'posit', 'definit', 'matrix', 'ground', 'plane', 'secur', 'system', 'singl', 'imag', 'novel', 'approach', 'vehicl', 'occup']"
Jonathan Gennick,Oracle SQL;SQL statement;SQL Server;Microsoft SQL Server;SQL Pocket GuideOracle SQL;dynamic SQL;tool SQL;tuning SQL query;Oracle SQL Plus;Oracle SQL Tuning Pocket,"['oracl', 'sql', 'sql', 'statement', 'sql', 'server', 'microsoft', 'sql', 'server', 'sql', 'pocket', 'guideoracl', 'sql', 'dynam', 'sql', 'tool', 'sql', 'tune', 'sql', 'queri', 'oracl', 'sql', 'plu', 'oracl', 'sql', 'tune', 'pocket']"
Urs Hölzle,indirect branch;two-level predictor;object-oriented program;prediction accuracy;high performance;cascaded predictor;value prediction;Two-stage cascaded prediction;accurate conditional branch prediction;accurate prediction,"['indirect', 'branch', 'two-level', 'predictor', 'object-ori', 'program', 'predict', 'accuraci', 'high', 'perform', 'cascad', 'predictor', 'valu', 'predict', 'two-stag', 'cascad', 'predict', 'accur', 'condit', 'branch', 'predict', 'accur', 'predict']"
M. Derthick,counterfactual reasoning;common sense reasoning;factual reasoning;mundane reasoning;multiple consistent interpretation;multiple query;visual query language;conflicting information;consistent interpretation;constant density display,"['counterfactu', 'reason', 'common', 'sens', 'reason', 'factual', 'reason', 'mundan', 'reason', 'multipl', 'consist', 'interpret', 'multipl', 'queri', 'visual', 'queri', 'languag', 'conflict', 'inform', 'consist', 'interpret', 'constant', 'densiti', 'display']"
A. E. Krishnaswamy,Thumb instruction;AX instruction;single ARM instruction;embedded processor;16-bit instruction;Thumb instruction pair;Thumb code;32-bit instruction;SetMask instruction;Thumb instruction set,"['thumb', 'instruct', 'ax', 'instruct', 'singl', 'arm', 'instruct', 'embed', 'processor', '16-bit', 'instruct', 'thumb', 'instruct', 'pair', 'thumb', 'code', '32-bit', 'instruct', 'setmask', 'instruct', 'thumb', 'instruct', 'set']"
Jin Ho Kwak,automorphism group;isomorphism class;tetravalent half-arc-transitive graph;graph G;1-regular graph;RFID system;Discrete Math;Cayley graph;complete bipartite graph;cubic symmetric graph,"['automorph', 'group', 'isomorph', 'class', 'tetraval', 'half-arc-transit', 'graph', 'graph', 'g', '1-regular', 'graph', 'rfid', 'system', 'discret', 'math', 'cayley', 'graph', 'complet', 'bipartit', 'graph', 'cubic', 'symmetr', 'graph']"
Do Young Kwak,mixed formulation;mixed finite volume method;finite volume method;linear system;higher order;numerical experiment;Covolume Method;mixed finite element space;lowest order;optimal order,"['mix', 'formul', 'mix', 'finit', 'volum', 'method', 'finit', 'volum', 'method', 'linear', 'system', 'higher', 'order', 'numer', 'experi', 'covolum', 'method', 'mix', 'finit', 'element', 'space', 'lowest', 'order', 'optim', 'order']"
Adas Gelzinis,questionnaire data;classification accuracy;voice data;unlabeled data;correct classification rate;genetic search;data classification;data cluster;data exploration;labelled data,"['questionnair', 'data', 'classif', 'accuraci', 'voic', 'data', 'unlabel', 'data', 'correct', 'classif', 'rate', 'genet', 'search', 'data', 'classif', 'data', 'cluster', 'data', 'explor', 'label', 'data']"
Constantinos C. Pantelides,production scheduling system;system behaviour;hybrid controller;different production unit;different scheduling formulation;different software;PDAE system;acceptable system trajectory;control system;hybrid system,"['product', 'schedul', 'system', 'system', 'behaviour', 'hybrid', 'control', 'differ', 'product', 'unit', 'differ', 'schedul', 'formul', 'differ', 'softwar', 'pdae', 'system', 'accept', 'system', 'trajectori', 'control', 'system', 'hybrid', 'system']"
Pierre Siohan,design example;OQAM modulation;prototype filter;OQAM system;filter bank;prototype filter length;synthesis filter;alamouti scheme;Hermitian Symmetry OFDM;OFDM modulation,"['design', 'exampl', 'oqam', 'modul', 'prototyp', 'filter', 'oqam', 'system', 'filter', 'bank', 'prototyp', 'filter', 'length', 'synthesi', 'filter', 'alamouti', 'scheme', 'hermitian', 'symmetri', 'ofdm', 'ofdm', 'modul']"
Brian S. Magerko,mental model;ambient display;interactive drama;story environment;interactive narrative;improvisational acting;cognitive script;story path;story space;true story,"['mental', 'model', 'ambient', 'display', 'interact', 'drama', 'stori', 'environ', 'interact', 'narr', 'improvis', 'act', 'cognit', 'script', 'stori', 'path', 'stori', 'space', 'true', 'stori']"
Shi-Qing Xin,CH algorithm;improved CH algorithm;efficient algorithm;intrinsic algorithm;MMP algorithm;exact algorithm;new algorithm;geodesic algorithm;original CH algorithm;promising algorithm,"['ch', 'algorithm', 'improv', 'ch', 'algorithm', 'effici', 'algorithm', 'intrins', 'algorithm', 'mmp', 'algorithm', 'exact', 'algorithm', 'new', 'algorithm', 'geodes', 'algorithm', 'origin', 'ch', 'algorithm', 'promis', 'algorithm']"
Marian Dörk,information flaneur;information seeker;information visualization;visual information;Web-based information;assumptions pervade information visualization;complex information spacesIn;critical information;diverse information space;information abstraction,"['inform', 'flaneur', 'inform', 'seeker', 'inform', 'visual', 'visual', 'inform', 'web-bas', 'inform', 'assumpt', 'pervad', 'inform', 'visual', 'complex', 'inform', 'spacesin', 'critic', 'inform', 'divers', 'inform', 'space', 'inform', 'abstract']"
J. R. Morante,mechanical resonator;fixed micromachined coil;electromagnetic inertial microgenerator;inertial mass;power level;Si1-x-yGexCy strained layer;dielectric function;experimental result;movable magnet;polymeric membrane,"['mechan', 'reson', 'fix', 'micromachin', 'coil', 'electromagnet', 'inerti', 'microgener', 'inerti', 'mass', 'power', 'level', 'si1-x-ygexci', 'strain', 'layer', 'dielectr', 'function', 'experiment', 'result', 'movabl', 'magnet', 'polymer', 'membran']"
Dan E. Poff,memory compression;memory content;available memory;storage system;main memory content;memory access pattern;standard memory;Performance EvaluationA new memory;effective memory size;extra memory copy,"['memori', 'compress', 'memori', 'content', 'avail', 'memori', 'storag', 'system', 'main', 'memori', 'content', 'memori', 'access', 'pattern', 'standard', 'memori', 'perform', 'evaluationa', 'new', 'memori', 'effect', 'memori', 'size', 'extra', 'memori', 'copi']"
Ismail Ari,event stream;data management;International Conference;intermediate result;complex event query;big data;big data problem;data access;data access latency;data access resource,"['event', 'stream', 'data', 'manag', 'intern', 'confer', 'intermedi', 'result', 'complex', 'event', 'queri', 'big', 'data', 'big', 'data', 'problem', 'data', 'access', 'data', 'access', 'latenc', 'data', 'access', 'resourc']"
Arne Løkketangen,delivery problem;overall problem;problem size;stochastic programming problem;test problem;arc routing;challenging problem;complex planning problem;hard combinatorial optimization problem;inventory problem,"['deliveri', 'problem', 'overal', 'problem', 'problem', 'size', 'stochast', 'program', 'problem', 'test', 'problem', 'arc', 'rout', 'challeng', 'problem', 'complex', 'plan', 'problem', 'hard', 'combinatori', 'optim', 'problem', 'inventori', 'problem']"
Praveen K. Murthy,synchronous dataflow;SDF graph;MDSDF model;embedded system;programmable digital signal processor;SDF specification;Software Synthesis;dataflow semantics;SDF model;memory requirement,"['synchron', 'dataflow', 'sdf', 'graph', 'mdsdf', 'model', 'embed', 'system', 'programm', 'digit', 'signal', 'processor', 'sdf', 'specif', 'softwar', 'synthesi', 'dataflow', 'semant', 'sdf', 'model', 'memori', 'requir']"
Sarah Spiekermann,consumer privacy concern;privacy concern;privacy protocol;self-reported privacy preference;different privacy statement;electronic privacy;privacy attitude;privacy awareness isnegatively;privacy constraint;privacy engineering,"['consum', 'privaci', 'concern', 'privaci', 'concern', 'privaci', 'protocol', 'self-report', 'privaci', 'prefer', 'differ', 'privaci', 'statement', 'electron', 'privaci', 'privaci', 'attitud', 'privaci', 'awar', 'isneg', 'privaci', 'constraint', 'privaci', 'engin']"
Tomasz S. Czajkowski,logic circuit;custom hardware accelerator;XOR-based logic circuit;hardware design;logic element;logic function;hardware solution;FPGA-based processor;FPGA circuitsThis paper;commercial FPGA,"['logic', 'circuit', 'custom', 'hardwar', 'acceler', 'xor-bas', 'logic', 'circuit', 'hardwar', 'design', 'logic', 'element', 'logic', 'function', 'hardwar', 'solut', 'fpga-bas', 'processor', 'fpga', 'circuitsthi', 'paper', 'commerci', 'fpga']"
Thomas W. Sederberg,parametric curve;rational curve;planar rational curve;B-spline curve;intersection curve;rational Bezier curve;zier curve;surface approximation;planar parametric rational polynomial;rational B,"['parametr', 'curv', 'ration', 'curv', 'planar', 'ration', 'curv', 'b-spline', 'curv', 'intersect', 'curv', 'ration', 'bezier', 'curv', 'zier', 'curv', 'surfac', 'approxim', 'planar', 'parametr', 'ration', 'polynomi', 'ration', 'b']"
Milan Vojnovi?,random walk;expected convergence time;social welfare;characteristic time;random waypoint;intercontact time;random trip model;exogenous user arrival;inter-contact time;return time,"['random', 'walk', 'expect', 'converg', 'time', 'social', 'welfar', 'characterist', 'time', 'random', 'waypoint', 'intercontact', 'time', 'random', 'trip', 'model', 'exogen', 'user', 'arriv', 'inter-contact', 'time', 'return', 'time']"
Hema A. Murthy,group delay function;speech signal;modified group delay function;group delay;modified group delay feature;speech spectrum;different traffic class;traffic type;phase spectrum;noisy speech,"['group', 'delay', 'function', 'speech', 'signal', 'modifi', 'group', 'delay', 'function', 'group', 'delay', 'modifi', 'group', 'delay', 'featur', 'speech', 'spectrum', 'differ', 'traffic', 'class', 'traffic', 'type', 'phase', 'spectrum', 'noisi', 'speech']"
Gilles Bisson,hierarchical clustering;clustering method;similarity measure;co-similarity algorithm;large dendrograms;new Focus;context visualization technique;thousands node;better result;partial subsumption,"['hierarch', 'cluster', 'cluster', 'method', 'similar', 'measur', 'co-similar', 'algorithm', 'larg', 'dendrogram', 'new', 'focu', 'context', 'visual', 'techniqu', 'thousand', 'node', 'better', 'result', 'partial', 'subsumpt']"
F. Vahid,software partitioning;configurable cache;embedded system;cache configuration;cache architecture;way-halting cache;dynamic hardware;performance overhead;associative cache;cache parameter,"['softwar', 'partit', 'configur', 'cach', 'embed', 'system', 'cach', 'configur', 'cach', 'architectur', 'way-halt', 'cach', 'dynam', 'hardwar', 'perform', 'overhead', 'associ', 'cach', 'cach', 'paramet']"
Erfang Shan,graph G;critical graph;clique-transversal number;graphsLet G;chordal graph;total domination number;digraph G;digraphs G;generalized Kautz G;networks G,"['graph', 'g', 'critic', 'graph', 'clique-transvers', 'number', 'graphslet', 'g', 'chordal', 'graph', 'total', 'domin', 'number', 'digraph', 'g', 'digraph', 'g', 'gener', 'kautz', 'g', 'network', 'g']"
Lionel Revéret,animal gait;physical simulation;motion data;Morphable model;motion capture sequence;motion field;task-space motion control;live video;large motion database;motion controller,"['anim', 'gait', 'physic', 'simul', 'motion', 'data', 'morphabl', 'model', 'motion', 'captur', 'sequenc', 'motion', 'field', 'task-spac', 'motion', 'control', 'live', 'video', 'larg', 'motion', 'databas', 'motion', 'control']"
Chung-chieh Shan,delimited control;delimited continuation;code generator;control operator;natural language;evaluation order;open code;programming language;side effect;functional programming,"['delimit', 'control', 'delimit', 'continu', 'code', 'gener', 'control', 'oper', 'natur', 'languag', 'evalu', 'order', 'open', 'code', 'program', 'languag', 'side', 'effect', 'function', 'program']"
Y.-P. Shan,Mode framework;Mode Composer;application server;data server;different server type;object server;production level object server;server computing;server environment;server object system,"['mode', 'framework', 'mode', 'compos', 'applic', 'server', 'data', 'server', 'differ', 'server', 'type', 'object', 'server', 'product', 'level', 'object', 'server', 'server', 'comput', 'server', 'environ', 'server', 'object', 'system']"
S. Miguet,PTZ camera;segmentation algorithm;motion map;discrete average;discrete operator;common motion pattern;Z-Buffer algorithm;algorithm performance;discrete algorithm;efficient algorithm,"['ptz', 'camera', 'segment', 'algorithm', 'motion', 'map', 'discret', 'averag', 'discret', 'oper', 'common', 'motion', 'pattern', 'z-buffer', 'algorithm', 'algorithm', 'perform', 'discret', 'algorithm', 'effici', 'algorithm']"
Xiuming Shan,mobility management;personal mobility;mobility model;mobility prediction;cellular network;DHT-based mobility management;service mobility;terminal mobility;aggregate human mobility;communication service mobility study,"['mobil', 'manag', 'person', 'mobil', 'mobil', 'model', 'mobil', 'predict', 'cellular', 'network', 'dht-base', 'mobil', 'manag', 'servic', 'mobil', 'termin', 'mobil', 'aggreg', 'human', 'mobil', 'commun', 'servic', 'mobil', 'studi']"
Ruilin Liu,data owner;energy-efficient data dissemination;hierarchical data;privacy-preserving publishing data;sensitive data;wireless data;archived hierarchical data;cached data;categorical data type;compact data archives,"['data', 'owner', 'energy-effici', 'data', 'dissemin', 'hierarch', 'data', 'privacy-preserv', 'publish', 'data', 'sensit', 'data', 'wireless', 'data', 'archiv', 'hierarch', 'data', 'cach', 'data', 'categor', 'data', 'type', 'compact', 'data', 'archiv']"
Y. J. Shan,different vehicle;vehicle image;flexible matching;matching problem;road vehicle;match measure;face model;model database;Probabilistic RelaxationReliable curve matching;Stereo MatchingBrute-force dense matching,"['differ', 'vehicl', 'vehicl', 'imag', 'flexibl', 'match', 'match', 'problem', 'road', 'vehicl', 'match', 'measur', 'face', 'model', 'model', 'databas', 'probabilist', 'relaxationreli', 'curv', 'match', 'stereo', 'matchingbrute-forc', 'dens', 'match']"
Ning Shan,Rough Set;information generalization;information system;data classification;knowledge discovery;optimal control;information reduction;basic learning procedure;decision matrix approach;rough-set approach,"['rough', 'set', 'inform', 'gener', 'inform', 'system', 'data', 'classif', 'knowledg', 'discoveri', 'optim', 'control', 'inform', 'reduct', 'basic', 'learn', 'procedur', 'decis', 'matrix', 'approach', 'rough-set', 'approach']"
